delivered,hops,reward
True,3,14.5
True,2,17.0
False,30,-68.0
True,1,19.5
True,2,17.0
True,2,17.0
False,30,-68.0
True,1,19.5
True,3,14.5
True,2,17.0
True,2,17.0
True,2,17.0
True,2,17.0
True,1,19.5
True,1,19.5
True,2,17.0
True,1,19.5
True,2,17.0
False,30,-68.0
True,2,17.0
True,1,19.5
False,30,-68.0
True,1,19.5
False,30,-68.0
True,1,19.5
False,30,-68.0
False,30,-68.0
True,2,17.0
False,30,-68.0
False,30,-68.0
True,2,17.0
True,2,17.0
False,30,-68.0
True,2,17.0
True,2,17.0
False,30,-68.0
True,2,17.0
False,30,-68.0
True,2,17.0
True,2,17.0
True,3,14.5
False,30,-68.0
True,3,14.5
False,30,-68.0
True,2,17.0
True,2,17.0
True,1,19.5
True,2,17.0
True,1,19.5
False,30,-68.0
True,2,17.0
True,2,17.0
True,3,14.5
False,30,-68.0
True,3,14.5
True,1,19.5
True,2,17.0
True,3,14.5
True,2,17.0
False,30,-68.0
True,2,17.0
True,1,19.5
False,30,-68.0
False,30,-68.0
False,30,-68.0
True,2,17.0
False,30,-68.0
False,30,-68.0
True,2,17.0
True,2,17.0
False,30,-68.0
True,2,17.0
True,1,19.5
True,2,17.0
True,2,17.0
True,2,17.0
True,2,17.0
True,2,17.0
True,3,14.5
True,3,14.5
True,2,17.0
True,3,14.5
True,3,14.5
True,2,17.0
True,3,14.5
True,3,14.5
True,2,17.0
True,2,17.0
True,2,17.0
True,3,14.5
False,30,-68.0
True,1,19.5
False,30,-68.0
False,30,-68.0
True,3,14.5
True,2,17.0
True,2,17.0
True,2,17.0
False,30,-68.0
True,2,17.0
