episode,reward,pdr
0,17.0,1
1,12.0,1
2,17.0,1
3,17.0,1
4,14.5,1
5,19.5,1
6,17.0,1
7,12.0,1
8,14.5,1
9,14.5,1
10,14.5,1
11,9.5,1
12,4.5,1
13,17.0,1
14,14.5,1
15,17.0,1
16,14.5,1
17,17.0,1
18,17.0,1
19,14.5,1
20,14.5,1
21,17.0,1
22,17.0,1
23,14.5,1
24,14.5,1
25,12.0,1
26,17.0,1
27,9.5,1
28,19.5,1
29,19.5,1
30,19.5,1
31,17.0,1
32,17.0,1
33,14.5,1
34,19.5,1
35,14.5,1
36,19.5,1
37,19.5,1
38,14.5,1
39,17.0,1
40,9.5,1
41,17.0,1
42,14.5,1
43,2.0,1
44,-5.5,0
45,19.5,1
46,17.0,1
47,19.5,1
48,17.0,1
49,14.5,1
50,12.0,1
51,17.0,1
52,14.5,1
53,14.5,1
54,9.5,1
55,14.5,1
56,17.0,1
57,14.5,1
58,17.0,1
59,17.0,1
60,17.0,1
61,19.5,1
62,17.0,1
63,14.5,1
64,14.5,1
65,12.0,1
66,17.0,1
67,14.5,1
68,17.0,1
69,17.0,1
70,17.0,1
71,19.5,1
72,17.0,1
73,17.0,1
74,17.0,1
75,14.5,1
76,17.0,1
77,17.0,1
78,17.0,1
79,14.5,1
80,9.5,1
81,17.0,1
82,9.5,1
83,14.5,1
84,17.0,1
85,17.0,1
86,17.0,1
87,7.0,1
88,19.5,1
89,12.0,1
90,9.5,1
91,17.0,1
92,14.5,1
93,17.0,1
94,17.0,1
95,17.0,1
96,12.0,1
97,14.5,1
98,17.0,1
99,17.0,1
100,17.0,1
101,14.5,1
102,14.5,1
103,17.0,1
104,9.5,1
105,14.5,1
106,14.5,1
107,14.5,1
108,14.5,1
109,14.5,1
110,17.0,1
111,17.0,1
112,17.0,1
113,19.5,1
114,14.5,1
115,19.5,1
116,17.0,1
117,9.5,1
118,17.0,1
119,12.0,1
120,17.0,1
121,12.0,1
122,17.0,1
123,9.5,1
124,14.5,1
125,14.5,1
126,17.0,1
127,17.0,1
128,14.5,1
129,14.5,1
130,14.5,1
131,12.0,1
132,17.0,1
133,17.0,1
134,17.0,1
135,14.5,1
136,17.0,1
137,17.0,1
138,19.5,1
139,17.0,1
140,17.0,1
141,14.5,1
142,12.0,1
143,14.5,1
144,17.0,1
145,17.0,1
146,17.0,1
147,17.0,1
148,14.5,1
149,17.0,1
150,14.5,1
151,17.0,1
152,17.0,1
153,17.0,1
154,14.5,1
155,14.5,1
156,19.5,1
157,7.0,1
158,12.0,1
159,17.0,1
160,14.5,1
161,17.0,1
162,9.5,1
163,14.5,1
164,14.5,1
165,14.5,1
166,14.5,1
167,9.5,1
168,14.5,1
169,9.5,1
170,19.5,1
171,19.5,1
172,17.0,1
173,17.0,1
174,14.5,1
175,19.5,1
176,19.5,1
177,17.0,1
178,19.5,1
179,19.5,1
180,9.5,1
181,17.0,1
182,19.5,1
183,9.5,1
184,17.0,1
185,12.0,1
186,19.5,1
187,17.0,1
188,12.0,1
189,17.0,1
190,14.5,1
191,17.0,1
192,19.5,1
193,17.0,1
194,19.5,1
195,17.0,1
196,14.5,1
197,14.5,1
198,17.0,1
199,17.0,1
200,17.0,1
201,12.0,1
202,14.5,1
203,17.0,1
204,14.5,1
205,17.0,1
206,14.5,1
207,17.0,1
208,14.5,1
209,14.5,1
210,14.5,1
211,7.0,1
212,14.5,1
213,17.0,1
214,14.5,1
215,14.5,1
216,14.5,1
217,7.0,1
218,17.0,1
219,9.5,1
220,14.5,1
221,7.0,1
222,17.0,1
223,17.0,1
224,17.0,1
225,14.5,1
226,19.5,1
227,17.0,1
228,17.0,1
229,17.0,1
230,14.5,1
231,4.5,1
232,14.5,1
233,17.0,1
234,7.0,1
235,17.0,1
236,19.5,1
237,17.0,1
238,17.0,1
239,17.0,1
240,12.0,1
241,17.0,1
242,17.0,1
243,7.0,1
244,19.5,1
245,19.5,1
246,14.5,1
247,14.5,1
248,14.5,1
249,17.0,1
250,19.5,1
251,17.0,1
252,17.0,1
253,4.5,1
254,17.0,1
255,9.5,1
256,17.0,1
257,17.0,1
258,14.5,1
259,12.0,1
260,17.0,1
261,14.5,1
262,17.0,1
263,12.0,1
264,14.5,1
265,17.0,1
266,19.5,1
267,14.5,1
268,17.0,1
269,7.0,1
270,17.0,1
271,14.5,1
272,4.5,1
273,12.0,1
274,14.5,1
275,19.5,1
276,12.0,1
277,14.5,1
278,14.5,1
279,17.0,1
280,17.0,1
281,17.0,1
282,17.0,1
283,17.0,1
284,17.0,1
285,17.0,1
286,17.0,1
287,17.0,1
288,12.0,1
289,7.0,1
290,14.5,1
291,19.5,1
292,17.0,1
293,12.0,1
294,17.0,1
295,14.5,1
296,14.5,1
297,12.0,1
298,17.0,1
299,14.5,1
300,14.5,1
301,19.5,1
302,17.0,1
303,17.0,1
304,17.0,1
305,17.0,1
306,14.5,1
307,14.5,1
308,14.5,1
309,17.0,1
310,17.0,1
311,14.5,1
312,14.5,1
313,14.5,1
314,12.0,1
315,17.0,1
316,14.5,1
317,14.5,1
318,12.0,1
319,17.0,1
320,17.0,1
321,14.5,1
322,14.5,1
323,17.0,1
324,14.5,1
325,17.0,1
326,17.0,1
327,12.0,1
328,12.0,1
329,17.0,1
330,17.0,1
331,17.0,1
332,17.0,1
333,17.0,1
334,19.5,1
335,17.0,1
336,14.5,1
337,14.5,1
338,17.0,1
339,14.5,1
340,17.0,1
341,14.5,1
342,17.0,1
343,12.0,1
344,14.5,1
345,17.0,1
346,17.0,1
347,4.5,1
348,14.5,1
349,12.0,1
350,14.5,1
351,17.0,1
352,17.0,1
353,14.5,1
354,14.5,1
355,17.0,1
356,14.5,1
357,17.0,1
358,2.0,1
359,14.5,1
360,14.5,1
361,17.0,1
362,17.0,1
363,17.0,1
364,17.0,1
365,17.0,1
366,14.5,1
367,14.5,1
368,14.5,1
369,17.0,1
370,17.0,1
371,14.5,1
372,17.0,1
373,19.5,1
374,14.5,1
375,17.0,1
376,14.5,1
377,14.5,1
378,19.5,1
379,12.0,1
380,17.0,1
381,12.0,1
382,14.5,1
383,17.0,1
384,14.5,1
385,17.0,1
386,17.0,1
387,14.5,1
388,17.0,1
389,19.5,1
390,17.0,1
391,17.0,1
392,17.0,1
393,14.5,1
394,17.0,1
395,14.5,1
396,17.0,1
397,9.5,1
398,17.0,1
399,19.5,1
400,17.0,1
401,9.5,1
402,12.0,1
403,17.0,1
404,14.5,1
405,17.0,1
406,19.5,1
407,14.5,1
408,14.5,1
409,14.5,1
410,14.5,1
411,14.5,1
412,17.0,1
413,14.5,1
414,12.0,1
415,19.5,1
416,7.0,1
417,17.0,1
418,17.0,1
419,19.5,1
420,12.0,1
421,17.0,1
422,17.0,1
423,17.0,1
424,19.5,1
425,17.0,1
426,17.0,1
427,14.5,1
428,9.5,1
429,17.0,1
430,17.0,1
431,14.5,1
432,9.5,1
433,17.0,1
434,19.5,1
435,19.5,1
436,17.0,1
437,17.0,1
438,9.5,1
439,14.5,1
440,14.5,1
441,17.0,1
442,17.0,1
443,19.5,1
444,17.0,1
445,17.0,1
446,14.5,1
447,19.5,1
448,17.0,1
449,17.0,1
450,14.5,1
451,19.5,1
452,12.0,1
453,12.0,1
454,9.5,1
455,17.0,1
456,19.5,1
457,14.5,1
458,9.5,1
459,9.5,1
460,19.5,1
461,19.5,1
462,14.5,1
463,7.0,1
464,-0.5,0
465,17.0,1
466,17.0,1
467,9.5,1
468,14.5,1
469,17.0,1
470,14.5,1
471,17.0,1
472,14.5,1
473,17.0,1
474,12.0,1
475,17.0,1
476,19.5,1
477,17.0,1
478,2.0,1
479,17.0,1
480,4.5,1
481,17.0,1
482,17.0,1
483,14.5,1
484,17.0,1
485,17.0,1
486,17.0,1
487,17.0,1
488,19.5,1
489,17.0,1
490,19.5,1
491,-5.5,0
492,17.0,1
493,14.5,1
494,19.5,1
495,9.5,1
496,17.0,1
497,14.5,1
498,17.0,1
499,17.0,1
500,14.5,1
501,7.0,1
502,17.0,1
503,14.5,1
504,19.5,1
505,14.5,1
506,19.5,1
507,17.0,1
508,17.0,1
509,17.0,1
510,14.5,1
511,19.5,1
512,17.0,1
513,14.5,1
514,14.5,1
515,17.0,1
516,17.0,1
517,17.0,1
518,14.5,1
519,19.5,1
520,14.5,1
521,17.0,1
522,19.5,1
523,12.0,1
524,7.0,1
525,14.5,1
526,12.0,1
527,17.0,1
528,12.0,1
529,17.0,1
530,17.0,1
531,12.0,1
532,17.0,1
533,17.0,1
534,17.0,1
535,12.0,1
536,9.5,1
537,14.5,1
538,14.5,1
539,17.0,1
540,17.0,1
541,17.0,1
542,17.0,1
543,17.0,1
544,14.5,1
545,17.0,1
546,19.5,1
547,17.0,1
548,12.0,1
549,14.5,1
550,17.0,1
551,14.5,1
552,-5.5,0
553,17.0,1
554,14.5,1
555,14.5,1
556,14.5,1
557,12.0,1
558,12.0,1
559,14.5,1
560,17.0,1
561,7.0,1
562,9.5,1
563,17.0,1
564,14.5,1
565,14.5,1
566,12.0,1
567,19.5,1
568,19.5,1
569,17.0,1
570,12.0,1
571,17.0,1
572,17.0,1
573,14.5,1
574,17.0,1
575,-10.5,0
576,14.5,1
577,14.5,1
578,12.0,1
579,14.5,1
580,7.0,1
581,17.0,1
582,14.5,1
583,19.5,1
584,17.0,1
585,12.0,1
586,17.0,1
587,14.5,1
588,14.5,1
589,14.5,1
