seed,method,delivered,hops,delay
42,BCR,True,20.0,126.28
42,BCR,False,inf,0.0
42,BCR,True,38.0,203.45
42,BCR,True,5.0,26.7
42,BCR,True,22.0,117.2
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,30.0,174.79
42,BCR,True,12.0,71.65
42,BCR,False,inf,0.0
42,BCR,True,13.0,68.5
42,BCR,True,16.0,81.07000000000001
42,BCR,True,6.0,29.27
42,BCR,True,31.0,174.85
42,BCR,False,inf,0.0
42,BCR,True,35.0,194.53
42,BCR,False,inf,0.0
42,BCR,True,35.0,177.74
42,BCR,True,17.0,97.36
42,BCR,True,2.0,18.810000000000002
42,BCR,True,27.0,156.41
42,BCR,False,inf,0.0
42,BCR,True,13.0,66.12
42,BCR,True,26.0,143.4
42,BCR,True,22.0,119.48
42,BCR,True,32.0,183.88
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,18.0,107.19
42,BCR,True,10.0,60.44
42,BCR,True,17.0,93.11
42,BCR,True,20.0,113.77
42,BCR,True,4.0,25.240000000000002
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,9.0,63.99
42,BCR,True,18.0,95.56
42,BCR,True,2.0,17.509999999999998
42,BCR,True,28.0,164.6
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,13.0,67.56
42,BCR,False,inf,0.0
42,BCR,True,21.0,118.15
42,BCR,True,7.0,40.93
42,BCR,False,inf,0.0
42,BCR,True,11.0,60.21
42,BCR,False,inf,0.0
42,BCR,True,17.0,92.64
42,BCR,True,19.0,106.97
42,BCR,False,inf,0.0
42,BCR,True,20.0,108.2
42,BCR,True,6.0,30.12
42,BCR,False,inf,0.0
42,BCR,True,11.0,66.5
42,BCR,True,20.0,104.23
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,12.0,73.58
42,BCR,False,inf,0.0
42,BCR,True,2.0,7.93
42,BCR,True,31.0,174.42
42,BCR,True,32.0,166.77
42,BCR,True,11.0,63.42
42,BCR,True,21.0,115.21000000000001
42,BCR,False,inf,0.0
42,BCR,True,14.0,82.31
42,BCR,True,7.0,51.81
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,8.0,47.13
42,BCR,True,21.0,132.67000000000002
42,BCR,True,22.0,120.86
42,BCR,True,23.0,124.78
42,BCR,True,26.0,147.86
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,19.0,104.74
42,BCR,True,27.0,155.16
42,BCR,True,33.0,178.93
42,BCR,True,25.0,142.71
42,BCR,True,30.0,173.84
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,1.0,1.88
42,BCR,True,1.0,4.27
42,BCR,True,35.0,179.79
42,BCR,True,9.0,56.44
42,BCR,True,5.0,21.25
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,22.0,122.79
42,BCR,True,21.0,119.79
42,BCR,True,35.0,201.89000000000001
42,BCR,True,7.0,41.08
42,BCR,False,inf,0.0
42,BCR,True,30.0,174.68
42,BCR,False,inf,0.0
42,BCR,True,5.0,34.9
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,1.0,9.37
42,BCR,True,19.0,102.66
42,BCR,True,13.0,73.65
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,26.0,139.75
42,BCR,False,inf,0.0
42,BCR,True,19.0,100.62
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,9.0,54.97
42,BCR,False,inf,0.0
42,BCR,True,16.0,86.55
42,BCR,True,20.0,110.53
42,BCR,True,3.0,13.9
42,BCR,True,15.0,81.81
42,BCR,False,inf,0.0
42,BCR,True,7.0,43.68
42,BCR,True,1.0,1.59
42,BCR,False,inf,0.0
42,BCR,True,11.0,60.910000000000004
42,BCR,True,36.0,211.29
42,BCR,True,25.0,142.61
42,BCR,False,inf,0.0
42,BCR,True,21.0,124.01
42,BCR,True,26.0,128.12
42,BCR,True,11.0,66.97
42,BCR,True,3.0,19.53
42,BCR,True,16.0,84.6
42,BCR,True,4.0,21.900000000000002
42,BCR,True,22.0,124.59
42,BCR,True,10.0,59.79
42,BCR,True,13.0,76.46000000000001
42,BCR,True,33.0,176.28
42,BCR,False,inf,0.0
42,BCR,True,26.0,128.12
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,26.0,149.94
42,BCR,False,inf,0.0
42,BCR,True,3.0,25.73
42,BCR,True,27.0,152.73
42,BCR,True,37.0,200.77
42,BCR,True,6.0,39.24
42,BCR,False,inf,0.0
42,BCR,True,1.0,3.61
42,BCR,True,24.0,136.35
42,BCR,False,inf,0.0
42,BCR,True,28.0,144.53
42,BCR,True,35.0,177.74
42,BCR,True,17.0,93.31
42,BCR,True,36.0,196.91
42,BCR,True,37.0,212.14000000000001
42,BCR,True,29.0,163.43
42,BCR,True,23.0,129.73
42,BCR,True,15.0,82.75
42,BCR,True,25.0,140.51
42,BCR,True,11.0,60.21
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,15.0,88.56
42,BCR,True,36.0,210.73
42,BCR,True,21.0,122.07000000000001
42,BCR,False,inf,0.0
42,BCR,True,34.0,182.66
42,BCR,True,10.0,58.730000000000004
42,BCR,False,inf,0.0
42,BCR,True,29.0,169.29
42,BCR,False,inf,0.0
42,BCR,True,17.0,90.73
42,BCR,True,19.0,104.62
42,BCR,True,19.0,105.58
42,BCR,True,2.0,17.509999999999998
42,BCR,True,12.0,64.16
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,15.0,74.24000000000001
42,BCR,True,24.0,135.54
42,BCR,False,inf,0.0
42,BCR,True,16.0,87.5
42,BCR,True,32.0,182.93
42,BCR,False,inf,0.0
42,BCR,True,11.0,60.35
42,BCR,True,18.0,99.03
42,BCR,True,8.0,48.5
42,BCR,True,21.0,123.87
42,BCR,True,28.0,164.89000000000001
42,BCR,True,15.0,83.82000000000001
42,BCR,False,inf,0.0
42,BCR,True,37.0,206.35
42,BCR,True,7.0,43.12
42,BCR,False,inf,0.0
42,BCR,True,28.0,160.8
42,BCR,True,27.0,148.31
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,35.0,191.55
42,BCR,True,24.0,140.0
42,BCR,False,inf,0.0
42,BCR,True,21.0,115.37
42,BCR,True,15.0,82.9
42,BCR,True,28.0,144.29
42,BCR,True,8.0,44.52
42,BCR,True,12.0,72.08
42,BCR,True,12.0,64.94
42,BCR,True,31.0,169.15
42,BCR,True,35.0,206.04
42,BCR,True,1.0,9.06
42,BCR,False,inf,0.0
42,BCR,True,6.0,38.480000000000004
42,BCR,True,6.0,37.27
42,BCR,True,18.0,92.06
42,BCR,False,inf,0.0
42,BCR,True,16.0,99.53
42,BCR,True,28.0,155.84
42,BCR,True,19.0,100.26
42,BCR,True,29.0,168.53
42,BCR,True,25.0,136.71
42,BCR,True,10.0,59.93
42,BCR,True,12.0,63.72
42,BCR,False,inf,0.0
42,BCR,True,33.0,191.3
42,BCR,True,23.0,123.03
42,BCR,True,10.0,58.81
42,BCR,True,36.0,204.98000000000002
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,1.0,3.0
42,BCR,False,inf,0.0
42,BCR,True,28.0,144.29
42,BCR,True,37.0,214.86
42,BCR,True,26.0,143.4
42,BCR,False,inf,0.0
42,BCR,True,3.0,28.71
42,BCR,True,15.0,82.78
42,BCR,False,inf,0.0
42,BCR,True,13.0,76.46000000000001
42,BCR,True,26.0,144.39000000000001
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,20.0,114.35000000000001
42,BCR,True,37.0,200.77
42,BCR,True,4.0,17.080000000000002
42,BCR,False,inf,0.0
42,BCR,True,33.0,181.88
42,BCR,True,32.0,175.29
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,22.0,128.81
42,BCR,True,7.0,30.25
42,BCR,True,3.0,25.73
42,BCR,True,4.0,18.29
42,BCR,False,inf,0.0
42,BCR,True,11.0,62.620000000000005
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,16.0,86.64
42,BCR,True,16.0,90.52
42,BCR,True,16.0,89.81
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,11.0,62.260000000000005
42,BCR,True,15.0,82.9
42,BCR,True,7.0,42.21
42,BCR,True,2.0,13.22
42,BCR,True,29.0,158.93
42,BCR,True,30.0,174.69
42,BCR,True,1.0,9.73
42,BCR,True,16.0,90.61
42,BCR,True,19.0,102.66
42,BCR,True,28.0,167.6
42,BCR,True,20.0,108.56
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,22.0,120.86
42,BCR,True,17.0,92.57
42,BCR,False,inf,0.0
42,BCR,True,7.0,48.9
42,BCR,True,3.0,21.22
42,BCR,True,3.0,21.22
42,BCR,True,12.0,72.65
42,BCR,True,20.0,116.68
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,13.0,75.26
42,BCR,True,38.0,212.35
42,BCR,True,5.0,26.830000000000002
42,BCR,True,35.0,191.09
42,BCR,True,17.0,91.04
42,BCR,True,18.0,93.8
42,BCR,False,inf,0.0
42,BCR,True,27.0,159.63
42,BCR,True,33.0,195.78
42,BCR,True,19.0,98.69
42,BCR,True,30.0,157.13
42,BCR,True,14.0,71.01
42,BCR,True,30.0,171.9
42,BCR,False,inf,0.0
42,BCR,True,27.0,156.23
42,BCR,True,26.0,146.5
42,BCR,True,14.0,79.19
42,BCR,True,16.0,87.2
42,BCR,True,3.0,25.89
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,5.0,24.07
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,15.0,84.46000000000001
42,BCR,False,inf,0.0
42,BCR,True,35.0,206.03
42,BCR,True,30.0,175.05
42,BCR,False,inf,0.0
42,BCR,True,31.0,174.47
42,BCR,False,inf,0.0
42,BCR,True,8.0,41.0
42,BCR,True,32.0,166.77
42,BCR,False,inf,0.0
42,BCR,True,2.0,5.43
42,BCR,True,19.0,107.0
42,BCR,True,20.0,102.86
42,BCR,False,inf,0.0
42,BCR,True,30.0,175.05
42,BCR,True,34.0,197.01
42,BCR,False,inf,0.0
42,BCR,True,7.0,46.0
42,BCR,False,inf,0.0
42,BCR,True,18.0,107.19
42,BCR,True,14.0,71.01
42,BCR,True,9.0,55.07
42,BCR,True,13.0,68.33
42,BCR,False,inf,0.0
42,BCR,True,20.0,102.86
42,BCR,True,38.0,223.91
42,BCR,True,17.0,92.81
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,14.0,79.09
42,BCR,True,39.0,225.88
42,BCR,True,18.0,91.06
42,BCR,True,22.0,123.77
42,BCR,True,18.0,102.67
42,BCR,True,1.0,5.61
42,BCR,True,29.0,168.53
42,BCR,False,inf,0.0
42,BCR,True,29.0,164.03
42,BCR,False,inf,0.0
42,BCR,True,18.0,97.27
42,BCR,False,inf,0.0
42,BCR,True,5.0,30.66
42,BCR,True,27.0,159.74
42,BCR,True,16.0,90.61
42,BCR,True,32.0,180.81
42,BCR,True,25.0,142.71
42,BCR,True,24.0,134.82
42,BCR,True,8.0,46.910000000000004
42,BCR,True,22.0,116.82000000000001
42,BCR,True,31.0,171.73
42,BCR,True,32.0,175.94
42,BCR,False,inf,0.0
42,BCR,True,33.0,184.99
42,BCR,True,3.0,22.59
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,18.0,97.72
42,BCR,True,29.0,170.48
42,BCR,True,10.0,57.34
42,BCR,True,24.0,127.01
42,BCR,True,35.0,193.35
42,BCR,True,11.0,67.54
42,BCR,False,inf,0.0
42,BCR,True,6.0,40.81
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,3.0,21.1
42,BCR,True,19.0,98.96000000000001
42,BCR,False,inf,0.0
42,BCR,True,29.0,168.66
42,BCR,False,inf,0.0
42,BCR,True,29.0,170.58
42,BCR,True,14.0,80.37
42,BCR,True,22.0,121.12
42,BCR,True,27.0,152.99
42,BCR,True,20.0,96.15
42,BCR,False,inf,0.0
42,BCR,True,13.0,68.73
42,BCR,True,33.0,195.78
42,BCR,False,inf,0.0
42,BCR,True,7.0,43.0
42,BCR,True,31.0,181.17
42,BCR,True,32.0,182.4
42,BCR,True,10.0,61.13
42,BCR,False,inf,0.0
42,BCR,True,9.0,44.230000000000004
42,BCR,True,23.0,116.67
42,BCR,True,26.0,138.43
42,BCR,True,36.0,196.97
42,BCR,False,inf,0.0
42,BCR,True,24.0,132.72
42,BCR,True,29.0,151.22
42,BCR,True,2.0,12.02
42,BCR,True,1.0,9.37
42,BCR,True,22.0,132.52
42,BCR,True,5.0,25.03
42,BCR,True,13.0,83.03
42,BCR,True,19.0,95.29
42,BCR,False,inf,0.0
42,BCR,True,33.0,195.22
42,BCR,True,28.0,154.04
42,BCR,True,5.0,41.6
42,BCR,False,inf,0.0
42,BCR,True,2.0,10.530000000000001
42,BCR,True,1.0,9.73
42,BCR,True,34.0,193.68
42,BCR,False,inf,0.0
42,BCR,True,34.0,190.36
42,BCR,True,6.0,30.16
42,BCR,True,39.0,225.88
42,BCR,True,28.0,157.95
42,BCR,True,19.0,105.29
42,BCR,True,4.0,29.29
42,BCR,False,inf,0.0
42,BCR,True,21.0,114.57000000000001
42,BCR,True,37.0,221.46
42,BCR,True,18.0,95.56
42,BCR,True,4.0,16.580000000000002
42,BCR,True,9.0,49.46
42,BCR,False,inf,0.0
42,BCR,True,1.0,3.91
42,BCR,True,17.0,91.53
42,BCR,False,inf,0.0
42,BCR,True,22.0,119.48
42,BCR,False,inf,0.0
42,BCR,False,inf,0.0
42,BCR,True,7.0,31.650000000000002
42,BCR,True,15.0,82.9
42,BCR,False,inf,0.0
42,BCR,True,3.0,11.84
42,BCR,True,24.0,136.14000000000001
42,BCR,True,33.0,181.51
42,BCR,True,5.0,26.830000000000002
42,BCR,False,inf,0.0
42,BCR,True,6.0,34.67
42,BCR,True,25.0,143.1
42,BCR,True,3.0,13.77
