method,src,dst,delivered,hops,delay
BCR,0,11,True,20.0,126.27999999999999
BCR,27,24,False,inf,0.0
BCR,49,22,True,38.0,203.45000000000002
BCR,30,29,True,5.0,26.7
BCR,41,34,True,22.0,117.2
BCR,6,16,False,inf,0.0
BCR,25,48,False,inf,0.0
BCR,48,1,False,inf,0.0
BCR,0,48,False,inf,0.0
BCR,11,4,False,inf,0.0
BCR,36,31,True,30.0,174.79000000000002
BCR,8,41,True,12.0,71.65
BCR,34,18,False,inf,0.0
BCR,47,15,True,13.0,68.49999999999999
BCR,2,20,True,16.0,81.07000000000001
BCR,23,33,True,6.0,29.27
BCR,23,10,True,31.0,174.85
BCR,48,7,False,inf,0.0
BCR,35,38,True,35.0,194.53000000000003
BCR,39,19,False,inf,0.0
BCR,34,48,True,35.0,177.74000000000004
BCR,24,35,True,17.0,97.36
BCR,24,29,True,2.0,18.810000000000002
BCR,17,46,True,27.0,156.41
BCR,17,1,False,inf,0.0
BCR,34,15,True,13.0,66.11999999999999
BCR,40,35,True,26.0,143.4
BCR,32,3,True,22.0,119.48
BCR,32,13,True,32.0,183.88000000000002
BCR,20,48,False,inf,0.0
BCR,19,7,False,inf,0.0
BCR,6,2,True,18.0,107.19000000000001
BCR,16,33,True,10.0,60.440000000000005
BCR,47,11,True,17.0,93.10999999999999
BCR,21,22,True,20.0,113.77
BCR,45,29,True,4.0,25.240000000000002
BCR,37,38,False,inf,0.0
BCR,44,7,False,inf,0.0
BCR,26,27,True,9.0,63.99
BCR,33,20,True,18.0,95.56
BCR,29,33,True,2.0,17.509999999999998
BCR,27,47,True,28.0,164.60000000000002
BCR,32,4,False,inf,0.0
BCR,47,18,False,inf,0.0
BCR,3,35,True,13.0,67.56000000000002
BCR,48,16,False,inf,0.0
BCR,43,27,True,21.0,118.14999999999999
BCR,29,28,True,7.0,40.93
BCR,45,5,False,inf,0.0
BCR,34,41,True,11.0,60.21
BCR,36,23,False,inf,0.0
BCR,28,49,True,17.0,92.63999999999999
BCR,45,30,True,19.0,106.97000000000001
BCR,34,32,False,inf,0.0
BCR,20,32,True,20.0,108.2
BCR,22,33,True,6.0,30.12
BCR,2,18,False,inf,0.0
BCR,24,42,True,11.0,66.50000000000001
BCR,30,2,True,20.0,104.22999999999999
BCR,39,46,False,inf,0.0
BCR,23,32,False,inf,0.0
BCR,46,21,False,inf,0.0
BCR,22,1,False,inf,0.0
BCR,26,42,True,12.0,73.58
BCR,1,26,False,inf,0.0
BCR,16,40,True,2.0,7.93
BCR,32,8,True,31.0,174.42000000000002
BCR,42,48,True,32.0,166.77
BCR,38,28,True,11.0,63.42
BCR,41,25,True,21.0,115.21000000000001
BCR,34,24,False,inf,0.0
BCR,23,12,True,14.0,82.30999999999999
BCR,6,36,True,7.0,51.81
BCR,44,19,False,inf,0.0
BCR,0,8,False,inf,0.0
BCR,45,15,True,8.0,47.13000000000001
BCR,13,11,True,21.0,132.67
BCR,22,14,True,22.0,120.85999999999999
BCR,27,34,True,23.0,124.78000000000002
BCR,1,32,True,26.0,147.85999999999999
BCR,22,21,False,inf,0.0
BCR,24,21,False,inf,0.0
BCR,21,49,True,19.0,104.74
BCR,41,5,True,27.0,155.16
BCR,14,43,True,33.0,178.93
BCR,36,32,True,25.0,142.71
BCR,7,44,True,30.0,173.84000000000003
BCR,43,4,False,inf,0.0
BCR,38,3,False,inf,0.0
BCR,5,45,True,1.0,1.88
BCR,31,29,True,1.0,4.27
BCR,46,34,True,35.0,179.79000000000002
BCR,39,15,True,9.0,56.440000000000005
BCR,12,42,True,5.0,21.25
BCR,29,18,False,inf,0.0
BCR,16,19,False,inf,0.0
BCR,27,25,True,22.0,122.79000000000002
BCR,36,25,True,21.0,119.79000000000002
BCR,22,8,True,35.0,201.89
BCR,11,0,True,7.0,41.08
