delivered,hops,delay
True,3,6.96
False,25,99.75
False,23,83.0
True,15,56.74999999999999
True,9,28.28
True,27,124.03999999999999
False,40,169.89000000000001
False,34,154.67000000000004
True,11,51.239999999999995
True,23,81.77
False,25,94.04
False,33,143.01
False,32,166.01999999999998
True,16,74.6
True,24,104.46000000000001
False,20,62.930000000000014
True,28,126.45000000000002
True,7,29.650000000000002
False,31,127.2
False,40,171.82999999999998
True,38,159.15000000000003
True,13,49.109999999999985
True,20,76.25
True,18,57.529999999999994
True,26,112.1
True,42,165.36
False,39,184.06000000000003
True,8,14.04
True,2,5.41
True,13,40.86000000000001
True,7,27.78
True,10,35.57
True,26,111.3
True,38,192.32999999999996
True,14,47.96000000000001
True,17,45.58000000000001
True,16,52.7
True,8,32.74
True,37,151.71999999999997
True,1,4.23
False,28,118.99000000000001
True,19,81.29
True,2,5.890000000000001
True,15,58.290000000000006
True,24,93.18
True,3,6.74
True,8,24.89
True,39,177.02
True,15,50.01999999999999
False,27,93.9
False,27,117.97999999999999
True,7,18.01
True,11,29.36
True,12,41.269999999999996
True,29,118.18999999999998
True,19,71.45
True,7,22.71
True,24,99.23
True,36,180.90999999999997
True,38,166.61999999999998
False,32,139.07
True,25,82.46999999999998
True,5,17.41
False,26,109.53
True,3,5.01
True,37,134.98
True,27,119.00999999999998
True,7,17.330000000000002
True,40,174.88
False,29,125.41000000000001
True,31,129.69
True,7,22.509999999999998
False,33,125.89000000000003
False,36,122.75999999999999
True,1,2.68
False,16,61.150000000000006
True,15,66.16
False,32,148.45000000000002
True,17,74.33000000000001
True,17,64.97
True,14,60.190000000000005
True,32,148.98000000000005
True,15,65.22999999999999
True,28,123.3
True,6,17.19
False,37,146.35999999999999
True,10,39.60999999999999
False,30,134.12
False,27,103.30999999999999
True,1,9.56
True,2,5.16
True,17,46.550000000000004
True,18,68.35
False,38,189.29000000000002
True,7,23.59
True,14,50.93
False,38,186.44
True,18,73.38
True,18,67.56
True,28,90.94000000000001
False,33,132.9
True,23,75.77
True,1,2.45
True,2,4.1
True,20,82.32
True,27,115.66999999999999
True,5,9.989999999999998
False,36,153.14999999999998
True,1,3.14
False,34,152.41
True,3,7.739999999999999
True,35,148.93000000000004
True,18,57.45
True,5,15.860000000000001
False,22,84.38
False,30,146.44000000000003
False,39,179.84999999999997
False,29,109.69999999999999
True,34,148.56999999999996
True,5,12.030000000000001
True,22,84.53999999999999
True,5,17.660000000000004
True,27,131.88
True,1,2.53
True,28,120.26999999999998
True,13,47.36999999999999
True,1,1.33
False,28,126.24999999999999
True,12,39.569999999999986
False,19,88.37
False,39,147.53000000000003
False,37,157.14
True,15,47.739999999999995
True,31,120.67999999999998
True,5,12.360000000000001
False,15,56.39
False,35,150.51000000000005
True,24,80.91999999999999
True,20,79.36
False,18,64.45
True,20,66.68
True,1,1.42
True,29,125.14999999999998
False,24,79.76
False,33,157.62
True,28,121.99000000000001
False,24,96.08999999999999
False,36,169.84
True,12,56.09
True,25,95.49
False,38,169.15000000000003
True,32,137.34000000000003
False,32,134.77
False,37,170.51999999999998
True,24,92.33
True,8,30.18
True,16,51.27
False,42,216.99000000000007
True,13,26.43
False,10,30.94
True,21,86.81
True,23,85.2
True,23,89.72
True,12,38.949999999999996
True,12,43.62
False,33,119.81000000000002
True,37,164.67
True,31,151.82000000000002
False,43,198.28
True,29,124.75000000000001
False,40,168.76
True,14,40.93
True,14,42.230000000000004
False,43,191.86
True,7,31.98
True,31,137.34
False,38,160.15
True,18,76.63
True,2,4.47
True,12,38.209999999999994
False,43,199.56000000000003
True,2,6.84
True,29,122.52000000000001
True,16,52.66
True,33,156.57
True,14,77.52000000000001
True,35,143.65000000000003
False,40,160.14
True,10,38.279999999999994
False,36,155.00000000000003
True,7,19.409999999999997
False,28,126.69
True,1,3.53
True,17,61.46000000000001
True,10,24.55
False,29,111.8
False,36,153.78
True,15,36.06
True,1,4.27
True,6,29.53
True,35,142.97
False,25,110.94000000000001
False,29,102.53999999999999
True,4,14.59
False,40,170.24
True,29,107.36999999999998
True,6,16.15
True,1,2.57
False,36,164.23
False,35,147.92
False,26,92.13999999999999
True,25,77.97999999999998
True,26,107.55999999999999
True,7,24.480000000000004
True,7,15.91
True,4,12.870000000000001
True,14,55.3
True,2,7.18
True,3,14.26
True,12,47.86
True,19,77.81
False,26,100.75999999999999
True,39,175.26999999999998
True,34,153.65999999999997
True,16,47.74
True,12,41.97000000000001
True,20,86.71
True,17,60.57
True,8,20.97
True,35,112.31000000000002
True,11,50.58
True,24,82.28999999999999
False,27,93.7
False,35,141.62999999999997
False,33,137.19
True,34,139.64
True,25,82.36
True,10,30.36
True,31,127.68000000000004
True,10,27.86
False,34,136.28
False,33,132.14000000000001
True,3,11.950000000000001
True,16,66.19
False,26,95.41
False,14,45.21999999999999
True,2,7.09
False,27,97.23
True,28,108.39
False,32,132.21
True,19,63.11000000000001
True,19,76.71999999999998
True,18,87.53999999999998
False,36,144.28
True,28,123.38999999999999
True,22,92.75000000000001
False,42,207.73000000000002
True,20,65.03999999999999
True,4,10.0
True,31,127.05
True,30,124.65999999999998
False,21,65.42
False,16,54.0
False,29,120.77999999999999
True,15,70.38000000000001
True,46,201.14000000000001
True,28,122.06999999999996
True,12,42.57
True,14,54.28
True,2,10.61
True,31,142.91999999999996
True,12,48.17
True,30,117.77999999999999
True,23,95.96
True,23,88.40999999999998
True,11,36.45
False,32,130.18999999999997
True,15,46.139999999999986
True,31,123.99
True,18,63.45000000000001
True,30,115.17999999999999
True,18,84.13000000000001
True,25,113.4
True,8,24.479999999999997
True,42,184.02
True,15,66.82
False,36,164.02000000000004
True,6,23.619999999999997
False,38,167.00000000000003
