node,degree,betweenness,closeness,traffic_load,dst,optimal_next_hop,seed
0,0.2040816326530612,0.046422896359120856,0.5051546391752577,0.3410663510502585,11,20,42
24,0.061224489795918366,0.0028105091242846348,0.3951612903225806,0.5414479738275658,22,9,42
41,0.18367346938775508,0.04269161696757735,0.5104166666666666,0.22855002179729966,34,6,42
15,0.18367346938775508,0.0315418014247546,0.5,0.9821683433294356,26,44,42
48,0.1020408163265306,0.012431352411094308,0.45794392523364486,0.9962536997579243,1,20,42
11,0.18367346938775508,0.0317400104952626,0.5051546391752577,0.9004180571633305,4,45,42
8,0.1020408163265306,0.008334579252946598,0.4336283185840708,0.3492095746126609,41,31,42
47,0.12244897959183673,0.015595621781846272,0.46226415094339623,0.8971102599525771,15,5,42
23,0.08163265306122448,0.006192635784472519,0.4224137931034483,0.6420316461542878,33,28,42
10,0.12244897959183673,0.013472618415220454,0.4336283185840708,0.16162871409461377,49,31,42
37,0.12244897959183673,0.022625928076858454,0.44954128440366975,0.6064290596595899,40,39,42
34,0.14285714285714285,0.01891827465807058,0.46226415094339623,0.1014715428660321,48,25,42
34,0.14285714285714285,0.01891827465807058,0.46226415094339623,0.005061583846218687,24,32,42
45,0.26530612244897955,0.058031599530699154,0.550561797752809,0.4856137535862266,17,11,42
34,0.14285714285714285,0.01891827465807058,0.46226415094339623,0.9944574626108207,15,25,42
35,0.14285714285714285,0.019720982659908227,0.4537037037037037,0.018075363615520867,32,9,42
13,0.1020408163265306,0.008244535604229481,0.4117647058823529,0.1788227092213288,21,21,42
7,0.1020408163265306,0.005333813720293311,0.4298245614035088,0.7209399242521293,6,19,42
32,0.16326530612244897,0.020764913940934354,0.46226415094339623,0.09367476782809248,48,27,42
21,0.08163265306122448,0.006309636950018101,0.4336283185840708,0.24398964337908358,22,11,42
37,0.12244897959183673,0.022625928076858454,0.44954128440366975,0.3930977246667604,38,39,42
7,0.1020408163265306,0.005333813720293311,0.4298245614035088,0.43439436551042865,27,28,42
20,0.16326530612244897,0.03323921601607676,0.45794392523364486,0.6451033620305648,30,9,42
46,0.14285714285714285,0.013591831448974306,0.45794392523364486,0.1952429877980445,32,25,42
47,0.12244897959183673,0.015595621781846272,0.46226415094339623,0.5720041992091831,18,27,42
48,0.1020408163265306,0.012431352411094308,0.45794392523364486,0.994550510797341,16,20,42
29,0.24489795918367346,0.06340367163071246,0.5268817204301075,0.2795603417967586,28,48,42
5,0.14285714285714285,0.015812888453194573,0.45794392523364486,0.7477187738974139,35,45,42
36,0.18367346938775508,0.05040430605031445,0.5051546391752577,0.3307503046705137,23,27,42
45,0.26530612244897955,0.058031599530699154,0.550561797752809,0.9636199770892528,30,30,42
32,0.16326530612244897,0.020764913940934354,0.46226415094339623,0.19091103115034602,20,9,42
32,0.16326530612244897,0.020764913940934354,0.46226415094339623,0.1694927466860925,2,2,42
24,0.061224489795918366,0.0028105091242846348,0.3951612903225806,0.936154774160781,42,9,42
2,0.18367346938775508,0.023643733078757095,0.5157894736842106,0.0704161308495439,40,12,42
49,0.14285714285714285,0.017099363888079377,0.47115384615384615,0.6711435168240506,31,29,42
22,0.14285714285714285,0.02003953623851583,0.4803921568627451,0.25416364906973876,1,28,42
41,0.18367346938775508,0.04269161696757735,0.5104166666666666,0.3225507642386005,1,46,42
39,0.22448979591836732,0.053688065510919654,0.5157894736842106,0.13662133144202881,32,19,42
47,0.12244897959183673,0.015595621781846272,0.46226415094339623,0.29359184426449336,38,27,42
25,0.12244897959183673,0.01615357265117169,0.44144144144144143,0.25620694359445806,35,6,42
23,0.08163265306122448,0.006192635784472519,0.4224137931034483,0.08159418040024036,12,5,42
6,0.18367346938775508,0.03949572017174058,0.494949494949495,0.7982951789667752,36,2,42
0,0.2040816326530612,0.046422896359120856,0.5051546391752577,0.7019668772577033,8,8,42
15,0.18367346938775508,0.0315418014247546,0.5,0.8900053418175663,13,19,42
22,0.14285714285714285,0.02003953623851583,0.4803921568627451,0.375582952639944,14,28,42
1,0.1020408163265306,0.008892781915741098,0.4375,0.578280140996174,32,20,42
21,0.08163265306122448,0.006309636950018101,0.4336283185840708,0.1550416167277442,25,11,42
21,0.08163265306122448,0.006309636950018101,0.4336283185840708,0.25025136051586405,22,11,42
41,0.18367346938775508,0.04269161696757735,0.5104166666666666,0.3032655146732228,5,29,42
42,0.2040816326530612,0.037110328230526304,0.5268817204301075,0.5222432600548044,36,36,42
43,0.12244897959183673,0.014583750166733358,0.45794392523364486,0.6228904758190003,44,29,42
3,0.12244897959183673,0.011960073531577133,0.44954128440366975,0.0516817211686077,6,25,42
29,0.24489795918367346,0.06340367163071246,0.5268817204301075,0.6995122107671938,47,11,42
39,0.22448979591836732,0.053688065510919654,0.5157894736842106,0.9758520794625346,15,19,42
41,0.18367346938775508,0.04269161696757735,0.5104166666666666,0.04106751676787579,29,29,42
18,0.061224489795918366,0.003772602114438849,0.3983739837398374,0.7440426429991154,28,27,42
25,0.12244897959183673,0.01615357265117169,0.44144144144144143,0.18433367433137005,37,6,42
22,0.14285714285714285,0.02003953623851583,0.4803921568627451,0.6884999007653664,8,44,42
0,0.2040816326530612,0.046422896359120856,0.5051546391752577,0.44235222973110444,1,20,42
31,0.14285714285714285,0.018356157606232635,0.49,0.18286599710730733,48,29,42
44,0.18367346938775508,0.030948090191787677,0.48514851485148514,0.9548652806631941,0,13,42
38,0.12244897959183673,0.01697232047997354,0.47115384615384615,0.6117207462343522,4,45,42
2,0.18367346938775508,0.023643733078757095,0.5157894736842106,0.5660372104940763,12,12,42
36,0.18367346938775508,0.05040430605031445,0.5051546391752577,0.014393488629755868,21,11,42
13,0.1020408163265306,0.008244535604229481,0.4117647058823529,0.04600264202175275,28,38,42
48,0.1020408163265306,0.012431352411094308,0.45794392523364486,0.8554605840110072,29,29,42
4,0.08163265306122448,0.0027520594484880196,0.4298245614035088,0.017161101831750236,12,12,42
25,0.12244897959183673,0.01615357265117169,0.44144144144144143,0.8069129770507795,48,48,42
35,0.14285714285714285,0.019720982659908227,0.4537037037037037,0.4646738129396114,32,9,42
36,0.18367346938775508,0.05040430605031445,0.5051546391752577,0.048058924197033726,22,11,42
4,0.08163265306122448,0.0027520594484880196,0.4298245614035088,0.04530400977204452,36,45,42
30,0.16326530612244897,0.023649706510976018,0.5,0.6258599157142364,9,45,42
31,0.14285714285714285,0.018356157606232635,0.49,0.5393774484000625,0,42,42
44,0.18367346938775508,0.030948090191787677,0.48514851485148514,0.6158511643899138,3,29,42
15,0.18367346938775508,0.0315418014247546,0.5,0.026511310541621813,1,6,42
31,0.14285714285714285,0.018356157606232635,0.49,0.8009492946823997,26,29,42
11,0.18367346938775508,0.0317400104952626,0.5051546391752577,0.6432882184423532,35,9,42
32,0.16326530612244897,0.020764913940934354,0.46226415094339623,0.9414648087765252,43,9,42
2,0.18367346938775508,0.023643733078757095,0.5157894736842106,0.9611905638239142,0,0,42
9,0.12244897959183673,0.023275035122274017,0.4666666666666667,0.19579113478929644,43,40,42
12,0.2040816326530612,0.04747176232020169,0.5104166666666666,0.10077800137742665,11,4,42
1,0.1020408163265306,0.008892781915741098,0.4375,0.3365542148887265,35,20,42
25,0.12244897959183673,0.01615357265117169,0.44144144144144143,0.38539662096556504,7,6,42
9,0.12244897959183673,0.023275035122274017,0.4666666666666667,0.34062456946424,26,11,42
40,0.22448979591836732,0.048362102500007664,0.532608695652174,0.11816482762165625,6,46,42
49,0.14285714285714285,0.017099363888079377,0.47115384615384615,0.9366481518557073,44,29,42
35,0.14285714285714285,0.019720982659908227,0.4537037037037037,0.8034809303848486,24,9,42
35,0.14285714285714285,0.019720982659908227,0.4537037037037037,0.42347094230811855,9,9,42
23,0.08163265306122448,0.006192635784472519,0.4224137931034483,0.9905051420006733,35,28,42
47,0.12244897959183673,0.015595621781846272,0.46226415094339623,0.37201808579278317,35,10,42
38,0.12244897959183673,0.01697232047997354,0.47115384615384615,0.34080354025301784,31,48,42
31,0.14285714285714285,0.018356157606232635,0.49,0.23859685979034018,37,42,42
12,0.2040816326530612,0.04747176232020169,0.5104166666666666,0.7545428740846823,23,4,42
40,0.22448979591836732,0.048362102500007664,0.532608695652174,0.9025529066795667,29,43,42
19,0.12244897959183673,0.010561079590566385,0.4537037037037037,0.38961808621920346,48,39,42
12,0.2040816326530612,0.04747176232020169,0.5104166666666666,0.3892016787341631,19,4,42
11,0.18367346938775508,0.0317400104952626,0.5051546391752577,0.8471431440955898,41,29,42
8,0.1020408163265306,0.008334579252946598,0.4336283185840708,0.9568008851264563,6,31,42
30,0.16326530612244897,0.023649706510976018,0.5,0.49302565777180496,18,25,42
15,0.18367346938775508,0.0315418014247546,0.5,0.29321077169806453,4,19,42
24,0.061224489795918366,0.0028105091242846348,0.3951612903225806,0.75237452943768,20,9,42
22,0.14285714285714285,0.02003953623851583,0.4803921568627451,0.7896181427945539,15,44,42
44,0.18367346938775508,0.030948090191787677,0.48514851485148514,0.9742482085344102,41,29,42
13,0.1020408163265306,0.008244535604229481,0.4117647058823529,0.05587115467735004,31,38,42
34,0.14285714285714285,0.01891827465807058,0.46226415094339623,0.5459157701649889,22,22,42
10,0.12244897959183673,0.013472618415220454,0.4336283185840708,0.9686519439741349,18,47,42
8,0.1020408163265306,0.008334579252946598,0.4336283185840708,0.8369638742373738,10,31,42
16,0.04081632653061224,0.000750489589775304,0.362962962962963,0.08410680611499743,38,36,42
12,0.2040816326530612,0.04747176232020169,0.5104166666666666,0.07276300636419353,40,40,42
49,0.14285714285714285,0.017099363888079377,0.47115384615384615,0.7062422271564962,26,26,42
4,0.08163265306122448,0.0027520594484880196,0.4298245614035088,0.08483771408519192,29,45,42
18,0.061224489795918366,0.003772602114438849,0.3983739837398374,0.3742707957561203,7,27,42
0,0.2040816326530612,0.046422896359120856,0.5051546391752577,0.8127995672575026,22,28,42
6,0.18367346938775508,0.03949572017174058,0.494949494949495,0.5918887388212843,25,25,42
35,0.14285714285714285,0.019720982659908227,0.4537037037037037,0.7081811955831998,5,9,42
18,0.061224489795918366,0.003772602114438849,0.3983739837398374,0.558404249735805,44,27,42
26,0.12244897959183673,0.012656386508427325,0.44545454545454544,0.906354385094736,9,44,42
38,0.12244897959183673,0.01697232047997354,0.47115384615384615,0.25368217387313874,2,45,42
49,0.14285714285714285,0.017099363888079377,0.47115384615384615,0.5714730252050106,27,29,42
19,0.12244897959183673,0.010561079590566385,0.4537037037037037,0.7671948531085717,28,35,42
40,0.22448979591836732,0.048362102500007664,0.532608695652174,0.7460448792654233,38,12,42
12,0.2040816326530612,0.04747176232020169,0.5104166666666666,0.9621725484745419,28,2,42
48,0.1020408163265306,0.012431352411094308,0.45794392523364486,0.8685991281894603,24,20,42
37,0.12244897959183673,0.022625928076858454,0.44954128440366975,0.8021092490267341,5,39,42
44,0.18367346938775508,0.030948090191787677,0.48514851485148514,0.5560050386425845,31,29,42
46,0.14285714285714285,0.013591831448974306,0.45794392523364486,0.04340078329817276,20,40,42
20,0.16326530612244897,0.03323921601607676,0.45794392523364486,0.9191157152786594,10,1,42
35,0.14285714285714285,0.019720982659908227,0.4537037037037037,0.6954111231066475,34,19,42
17,0.12244897959183673,0.01809058802231071,0.4375,0.6293986381352625,47,24,42
13,0.1020408163265306,0.008244535604229481,0.4117647058823529,0.45454106476777323,15,38,42
2,0.18367346938775508,0.023643733078757095,0.5157894736842106,0.7371007058430192,16,37,42
10,0.12244897959183673,0.013472618415220454,0.4336283185840708,0.9587024074078462,12,31,42
15,0.18367346938775508,0.0315418014247546,0.5,0.39452179860812986,7,19,42
23,0.08163265306122448,0.006192635784472519,0.4224137931034483,0.3356600647969632,28,28,42
27,0.18367346938775508,0.04034407226371513,0.48514851485148514,0.46369840493998216,36,36,42
49,0.14285714285714285,0.017099363888079377,0.47115384615384615,0.07773463696498484,27,29,42
40,0.22448979591836732,0.048362102500007664,0.532608695652174,0.9862107444796029,35,9,42
16,0.04081632653061224,0.000750489589775304,0.362962962962963,0.30952761628632774,8,37,42
19,0.12244897959183673,0.010561079590566385,0.4537037037037037,0.6847311725538793,12,39,42
28,0.2040816326530612,0.05104504998525107,0.5104166666666666,0.9109271844938425,12,0,42
5,0.14285714285714285,0.015812888453194573,0.45794392523364486,0.4166390577384792,18,45,42
4,0.08163265306122448,0.0027520594484880196,0.4298245614035088,0.9191765518355596,47,12,42
9,0.12244897959183673,0.023275035122274017,0.4666666666666667,0.8660638895004084,30,11,42
44,0.18367346938775508,0.030948090191787677,0.48514851485148514,0.026366974497252005,4,45,42
32,0.16326530612244897,0.020764913940934354,0.46226415094339623,0.48037008186635466,0,27,42
46,0.14285714285714285,0.013591831448974306,0.45794392523364486,0.37673896993794076,49,41,42
25,0.12244897959183673,0.01615357265117169,0.44144144144144143,0.9699143978146032,24,30,42
26,0.12244897959183673,0.012656386508427325,0.44545454545454544,0.8383287047111379,49,49,42
33,0.18367346938775508,0.0430666854098727,0.5104166666666666,0.4148195023376652,41,46,42
0,0.2040816326530612,0.046422896359120856,0.5051546391752577,0.056375496650927115,21,20,42
5,0.14285714285714285,0.015812888453194573,0.45794392523364486,0.8129010091300776,28,45,42
30,0.16326530612244897,0.023649706510976018,0.5,0.9966368370739054,4,45,42
22,0.14285714285714285,0.02003953623851583,0.4803921568627451,0.7261208440718481,37,4,42
9,0.12244897959183673,0.023275035122274017,0.4666666666666667,0.37785054927578643,10,35,42
20,0.16326530612244897,0.03323921601607676,0.45794392523364486,0.2050453285065249,13,48,42
0,0.2040816326530612,0.046422896359120856,0.5051546391752577,0.60617463445088,45,45,42
0,0.2040816326530612,0.046422896359120856,0.5051546391752577,0.7569991321722287,49,20,42
33,0.18367346938775508,0.0430666854098727,0.5104166666666666,0.26867248202530736,27,36,42
38,0.12244897959183673,0.01697232047997354,0.47115384615384615,0.49816518664589293,25,48,42
2,0.18367346938775508,0.023643733078757095,0.5157894736842106,0.8163857352130623,12,12,42
43,0.12244897959183673,0.014583750166733358,0.45794392523364486,0.08840822336564658,4,40,42
16,0.04081632653061224,0.000750489589775304,0.362962962962963,0.48004596701847513,48,36,42
22,0.14285714285714285,0.02003953623851583,0.4803921568627451,0.7846682639443096,14,28,42
13,0.1020408163265306,0.008244535604229481,0.4117647058823529,0.8050446675193619,1,38,42
38,0.12244897959183673,0.01697232047997354,0.47115384615384615,0.617263712097292,37,39,42
33,0.18367346938775508,0.0430666854098727,0.5104166666666666,0.6080878495418852,38,38,42
17,0.12244897959183673,0.01809058802231071,0.4375,0.5548156085422257,30,30,42
33,0.18367346938775508,0.0430666854098727,0.5104166666666666,0.4509104474161044,38,38,42
14,0.12244897959183673,0.01745357816786388,0.4375,0.6220867002278735,30,3,42
